Reference Designators;Quantity;Description;Package;Value;Manufacturer;Manufacturer Part Number;Vendor;Vendor Part Number;Top/Bottom;
;1;PCB Board;Board;;;;;;;
ANT1;1;Antennas 2.45GHz ANTENNA;2450AT18B100E_ANTC3216X140N;2450AT18B100E;;;;;Top;
C1, C3, C11, C14, C15, C16, C19, C20, C22, C23, C24, C25, C26, C27, C28, C31;16;Generic chip capacitor;NORDIC_NRF_3_RESC0402_N;1uF;;;;;Top;
C2, C4, C18;3;Generic chip capacitor;NORDIC_NRF_3_RESC0402_N;10uF;;;;;Top;
C5, C8, C9, C10, C13, C21, C30, C34, C43, C44;10;Generic chip capacitor;NORDIC_NRF_3_RESC0201_N;0.1uF;;;;;Top;
C6, C7;2;Generic chip capacitor;NORDIC_NRF_3_RESC0402_N;22uF;;;;;Top;
C12, C29, C45, C46, C47;5;Generic chip capacitor;NORDIC_NRF_3_RESC0402_N;4.7uF;;;;;Top;
C17;1;Generic chip capacitor;NORDIC_NRF_3_RESC0402_N;4.7uF/25V;;;;;Top;
C32;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_N;47nF;;;;;Top;
C33, C38, C41;3;Generic chip capacitor;NORDIC_NRF_3_RESC0201_N;NC;;;;;Top;
C35, C36, C48, C49;4;Generic chip capacitor;NORDIC_NRF_3_RESC0201_N;12pF;;;;;Top;
C37;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_N;100pF;;;;;Top;
C39, C40;2;Generic chip capacitor;NORDIC_NRF_3_RESC0201_N;1pF;;;;;Top;
C42;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_N;820pF/NC;;;;;Top;
D1;1;Low Cap. ESD Protection Auto SOT-23-6 STMicroelectronics USBLC6-2SC6Y, Dual Uni-Directional TVS Diode Array, 6-Pin SOT-23;ESP32_C6_LIBRARY_3_SOT95P280X145-6N;USBLC6-2SC6Y;;;;;Top;
D2, D3, D4;3;ON SEMICONDUCTOR - MBR0530 - DIODE, SCHOTTKY, 0.5A, 30V, SOD-123;ESP32_C6_LIBRARY_5_SOD3716X135N;MBR0530;;;;;Top;
IC1;1;Charger IC Lithium Ion/Polymer, Lithium Iron Phosphate 8-DSBGA (1.6x1.1);BQ25180YBGR_BGA8C40P2X4_100X155X50;BQ25180YBGR;;;;;Top;
IC2;1;Buck-Boost Regulator Positive Output Step-Up/Step-Down I2C DC-DC Controller IC 15-WL-CSP (BSC) (1.4x2.3);RT6160AWSC_BGA15C40P3X5_140X230X60;RT6160AWSC;;;;;Top;
IC3;1;Accelerometers Triaxial low-g 12bit Acceleration Sensor;BMA423_BMA423;BMA423;;;;;Top;
IC4;1;Haptic Driver for ERM/LRA with Built-In Library and Smart Loop Architecture;DRV2605YZFR_BGA9C50P3X3_144X144X62;DRV2605YZFR;;;;;Top;
J1;1;FFC & FPC Connectors 0.5mm FPC RA SMT Dual Contact 24Ckt;503480-2400_5034802400;503480-2400;;;;;Top;
J2;1;Check availability;KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P;KH-TYPE-C-16P_KH-TYPE-C-16P;;;;;Top;
J5;1;CABLE ADAPTER 6 POS;TC2030-IDC_TC2030IDC;TC2030-IDC;;;;;Top;
L1;1;SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :;MLP2016SR47MT0S1_INDC2016X100N;FTC252012SR47MBCA;;;;;Top;
L2;1;Generic chip inductor;NORDIC_NRF_2_RESC0402_L;68uH;;;;;Top;
L3;1;SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :;MLP2016SR47MT0S1_INDC2016X100N;10uH;;;;;Top;
L4;1;SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :;MLP2016SR47MT0S1_INDC2016X100N;15uH;;;;;Top;
L5;1;SMD / SMT Inductors (Coils), L=0.47?H, L x W x T :;MLP2016SR47MT0S1_INDC2016X100N;3.9nH;;;;;Top;
